pair_index,video_id,mocap_id,time,video_frame,mocap_frame,mocap_x,mocap_y,video_x,video_y
0,6516,52875,2023-03-29 10:22:01.790,3489,4778,-1935.106,-32.804,-1.8200226,1.1204947
0,6516,52875,2023-03-29 10:22:02.790,3494,4803,-1936.512,-32.513,-1.8199674,1.1197205
0,6516,52875,2023-03-29 10:22:03.790,3499,4828,-1936.474,-32.517,-1.8190774,1.1204582
0,6516,52875,2023-03-29 10:22:04.790,3504,4853,-1936.137,-32.439,-1.8190714,1.1204553
0,6516,52875,2023-03-29 10:22:05.789,3509,4878,-1935.872,-32.164,-1.8199064,1.1204326
0,6516,52875,2023-03-29 10:22:06.789,3514,4903,-1936.504,-32.359,-1.8199406,1.1203979
0,6516,52875,2023-03-29 10:22:07.789,3519,4928,-1936.661,-32.579,-1.8199406,1.1203979
0,6516,52875,2023-03-29 10:22:08.789,3524,4953,-1936.566,-32.38,-1.8199131,1.1204941
0,6516,52875,2023-03-29 10:22:09.789,3529,4978,-1937.417,-31.788,-1.8199793,1.1204273
0,6516,52875,2023-03-29 10:22:10.788,3534,5003,-1936.242,-32.37,-1.8199793,1.1204273
0,6516,52875,2023-03-29 10:22:11.788,3539,5028,-1936.126,-32.128,-1.8199816,1.1205618
0,6516,52875,2023-03-29 10:22:12.788,3544,5053,-1937.195,-32.419,-1.8199433,1.1205585
0,6516,52875,2023-03-29 10:22:13.788,3549,5078,-1937.33,-32.668,-1.8200107,1.119788
0,6516,52875,2023-03-29 10:22:14.788,3554,5103,-1937.794,-33.031,-1.8200282,1.1196704
0,6516,52875,2023-03-29 10:22:15.788,3559,5128,-1937.91,-32.821,-1.8200186,1.1197137
0,6516,52875,2023-03-29 10:22:16.787,3564,5153,-1937.747,-32.874,-1.8198938,1.1196951
0,6516,52875,2023-03-29 10:22:17.787,3569,5178,-1937.797,-32.886,-1.819909,1.1204298
0,6516,52875,2023-03-29 10:22:18.787,3574,5203,-1937.121,-31.887,-1.8198979,1.1195854
0,6516,52875,2023-03-29 10:22:19.787,3579,5228,-1936.93,-31.893,-1.8198979,1.1195854
0,6516,52875,2023-03-29 10:22:20.787,3584,5253,-1936.776,-31.812,-1.819834,1.119787
0,6516,52875,2023-03-29 10:22:21.786,3589,5278,-1937.047,-32.256,-1.819834,1.119787
0,6516,52875,2023-03-29 10:22:22.786,3594,5303,-1936.8,-32.037,-1.8198323,1.1196905
0,6516,52875,2023-03-29 10:22:23.786,3599,5328,-1936.932,-32.133,-1.819901,1.1195754
0,6516,52875,2023-03-29 10:22:24.786,3604,5353,-1936.906,-32.103,-1.8200396,1.1196635
0,6516,52875,2023-03-29 10:22:25.786,3609,5378,-1937.449,-32.528,-1.8199877,1.1195916
0,6516,52875,2023-03-29 10:22:26.785,3614,5403,-1937.437,-32.447,-1.8199735,1.1196818
0,6516,52875,2023-03-29 10:22:27.785,3619,5428,-1937.593,-32.508,-1.8199809,1.1196764
0,6516,52875,2023-03-29 10:22:28.786,3624,5453,-1937.503,-32.462,-1.818831,1.1205317
0,6516,52875,2023-03-29 10:22:29.785,3629,5478,-1939.013,-32.631,-1.8191388,1.1204586
0,6516,52875,2023-03-29 10:22:30.785,3634,5503,-1939.071,-32.941,-1.8202052,1.119752
0,6516,52875,2023-03-29 10:22:31.784,3639,5528,-1939.197,-32.819,-1.8201149,1.1196827
0,6516,52875,2023-03-29 10:22:32.784,3644,5553,-1939.2,-32.981,-1.8199012,1.1197873
0,6516,52875,2023-03-29 10:22:33.784,3649,5578,-1940.665,-32.637,-1.8199245,1.1188688
0,6516,52875,2023-03-29 10:22:34.784,3654,5603,-1940.749,-32.438,-1.8199757,1.1188848
0,6516,52875,2023-03-29 10:22:35.784,3659,5628,-1941.617,-33.096,-1.8200073,1.1190442
0,6516,52875,2023-03-29 10:22:36.783,3664,5653,-1941.884,-32.823,-1.8198819,1.1189884
0,6516,52875,2023-03-29 10:22:37.783,3669,5678,-1941.808,-32.796,-1.8205413,1.1198305
0,6516,52875,2023-03-29 10:22:38.783,3674,5703,-1937.783,-25.778,-1.8206124,1.1198623
0,6516,52875,2023-03-29 10:22:39.783,3679,5728,-1937.68,-25.667,-1.8206149,1.1197917
0,6516,52875,2023-03-29 10:22:40.783,3684,5753,-1937.763,-25.627,-1.8206837,1.1198982
0,6516,52875,2023-03-29 10:22:41.783,3689,5778,-1937.333,-26.125,-1.8206342,1.119884
0,6516,52875,2023-03-29 10:22:42.782,3694,5803,-1937.406,-25.982,-1.8204721,1.1197236
0,6516,52875,2023-03-29 10:22:43.782,3699,5828,-1937.82,-24.504,-1.8213716,1.1198885
0,6516,52875,2023-03-29 10:22:44.782,3704,5853,-1935.165,-25.47,-1.8206979,1.122831
0,6516,52875,2023-03-29 10:22:45.782,3709,5878,-1921.839,-26.547,-1.8210007,1.1261152
0,6516,52875,2023-03-29 10:22:46.782,3714,5903,-1911.938,-31.548,-1.8208976,1.1269784
0,6516,52875,2023-03-29 10:22:47.781,3719,5928,-1913.268,-34.911,-1.820177,1.1281352
0,6516,52875,2023-03-29 10:22:48.781,3724,5953,-1908.316,-33.295,-1.8201901,1.1289093
0,6516,52875,2023-03-29 10:22:49.781,3729,5978,-1903.885,-36.153,-1.8193488,1.1289042
0,6516,52875,2023-03-29 10:22:50.781,3734,6003,-1903.533,-36.459,-1.8194287,1.1296452
0,6516,52875,2023-03-29 10:22:51.781,3739,6028,-1904.81,-36.627,-1.8193488,1.1289042
0,6516,52875,2023-03-29 10:22:52.780,3744,6053,-1905.062,-36.268,-1.8193814,1.1288371
0,6516,52875,2023-03-29 10:22:53.780,3749,6078,-1905.068,-36.238,-1.8202226,1.1288422
0,6516,52875,2023-03-29 10:22:54.780,3754,6103,-1905.058,-36.239,-1.8193814,1.1288371
0,6516,52875,2023-03-29 10:22:55.780,3759,6128,-1905.08,-36.467,-1.8194557,1.1287601
0,6516,52875,2023-03-29 10:22:56.780,3764,6153,-1904.905,-36.834,-1.8194649,1.128749
0,6516,52875,2023-03-29 10:22:57.779,3769,6177,-1904.909,-37.051,-1.8194649,1.128749
0,6516,52875,2023-03-29 10:22:58.779,3774,6202,-1904.938,-36.932,-1.8194649,1.128749
0,6516,52875,2023-03-29 10:22:59.779,3779,6227,-1905.21,-36.878,-1.8194649,1.128749
0,6516,52875,2023-03-29 10:23:00.779,3784,6252,-1905.252,-36.745,-1.8203222,1.128866
0,6516,52875,2023-03-29 10:23:01.779,3789,6277,-1905.563,-36.604,-1.8201478,1.128848
0,6516,52875,2023-03-29 10:23:02.779,3794,6302,-1905.464,-36.148,-1.8202226,1.1288422
0,6516,52875,2023-03-29 10:23:03.778,3799,6327,-1905.326,-36.237,-1.8202226,1.1288422
0,6516,52875,2023-03-29 10:23:04.778,3804,6352,-1905.331,-36.087,-1.8203202,1.1287543
0,6516,52875,2023-03-29 10:23:05.781,3809,6378,-1905.315,-34.415,-1.8208027,1.1295909
0,6516,52875,2023-03-29 10:23:06.778,3814,6402,-1899.678,-28.93,-1.8243487,1.132566
0,6516,52875,2023-03-29 10:23:07.778,3819,6427,-1881.733,-8.174,-1.8258249,1.136111
0,6516,52875,2023-03-29 10:23:08.777,3824,6452,-1873.373,-9.923,-1.8258057,1.1366189
0,6516,52875,2023-03-29 10:23:09.777,3829,6477,-1880.944,-7.926,-1.8272338,1.1355168
